timestamp,fused_px,fused_py,fused_vx,fused_vy,fusion_variance
87.975019,-537.725200,-344.197900,-1.525000,-0.975000,0.007447
88.074977,-537.877800,-344.295400,-1.525000,-0.975000,0.007447
88.175001,-538.030300,-344.392900,-1.525000,-0.975000,0.007447
88.274952,-538.182800,-344.490500,-1.525000,-0.975000,0.007447
88.374967,-538.335400,-344.588000,-1.525000,-0.975000,0.007447
88.475034,-538.487900,-344.685500,-1.525000,-0.975000,0.007447
88.575032,-538.640400,-344.783000,-1.525000,-0.975000,0.007447
88.675042,-538.793000,-344.880600,-1.525000,-0.975000,0.007447
88.775048,-538.945500,-344.978100,-1.525000,-0.975000,0.007447
88.875014,-539.098000,-345.075600,-1.525000,-0.975000,0.007447
88.975055,-539.250600,-345.173200,-1.525000,-0.975000,0.007447
89.075039,-539.403100,-345.270700,-1.525000,-0.975000,0.007447
89.175059,-539.555700,-345.368200,-1.525000,-0.975000,0.007447
89.275032,-539.708200,-345.465800,-1.525000,-0.975000,0.007447
89.375027,-539.860700,-345.563300,-1.525000,-0.975000,0.007447
89.475029,-540.013300,-345.660800,-1.525000,-0.975000,0.007447
89.575034,-540.165800,-345.758400,-1.525000,-0.975000,0.007447
89.675013,-540.318300,-345.855900,-1.525000,-0.975000,0.007447
89.775023,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
89.875120,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
89.974944,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.075012,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.174966,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.274950,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.374937,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.474967,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.575058,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.674988,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.775301,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.874986,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
90.975047,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
91.075196,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
91.175059,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
91.275037,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
91.375035,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
91.475155,-540.470900,-345.953400,-1.525000,-0.975000,0.007447
91.574963,-540.928500,-346.246000,-1.525000,-0.975000,0.007447
91.675001,-541.081000,-346.343500,-1.525000,-0.975000,0.007447
91.775014,-541.233600,-346.441100,-1.525000,-0.975000,0.007447
91.875139,-541.386100,-346.538600,-1.525000,-0.975000,0.007447
91.975050,-541.538600,-346.636100,-1.525000,-0.975000,0.007447
92.075062,-541.691200,-346.733700,-1.525000,-0.975000,0.007447
92.175357,-541.843700,-346.831200,-1.525000,-0.975000,0.007447
92.274986,-541.996200,-346.928700,-1.525000,-0.975000,0.007447
92.375008,-542.148800,-347.026300,-1.525000,-0.975000,0.007447
92.474998,-542.301300,-347.123800,-1.525000,-0.975000,0.007447
92.575045,-542.453800,-347.221300,-1.525000,-0.975000,0.007447
92.675199,-542.606400,-347.318900,-1.525000,-0.975000,0.007447
92.775013,-542.758900,-347.416400,-1.525000,-0.975000,0.007447
92.875057,-542.911500,-347.513900,-1.525000,-0.975000,0.007447
92.974978,-543.064000,-347.611500,-1.525000,-0.975000,0.007447
93.075025,-543.216500,-347.709000,-1.525000,-0.975000,0.007447
93.175032,-543.369100,-347.806500,-1.525000,-0.975000,0.007447
93.275177,-543.521600,-347.904100,-1.525000,-0.975000,0.007447
93.375036,-543.674100,-348.001600,-1.525000,-0.975000,0.007447
93.475005,-543.826700,-348.099100,-1.525000,-0.975000,0.007447
93.575044,-543.979200,-348.196600,-1.525000,-0.975000,0.007447
93.675012,-544.131700,-348.294200,-1.525000,-0.975000,0.007447
93.775028,-544.284300,-348.391700,-1.525000,-0.975000,0.007447
93.875174,-544.436800,-348.489200,-1.525000,-0.975000,0.007447
93.975129,-544.589400,-348.586800,-1.525000,-0.975000,0.007447
94.075033,-544.741900,-348.684300,-1.525000,-0.975000,0.007447
94.175052,-544.894400,-348.781800,-1.525000,-0.975000,0.007447
94.275057,-545.047000,-348.879400,-1.525000,-0.975000,0.007447
94.375016,-545.199500,-348.976900,-1.525000,-0.975000,0.007447
94.476384,-545.352000,-349.074400,-1.525000,-0.975000,0.007447
94.575026,-545.504600,-349.172000,-1.525000,-0.975000,0.007447
94.675146,-545.657100,-349.269500,-1.525000,-0.975000,0.007447
94.775133,-545.809600,-349.367000,-1.525000,-0.975000,0.007447
94.875035,-545.962200,-349.464600,-1.525000,-0.975000,0.007447
94.975015,-546.114700,-349.562100,-1.525000,-0.975000,0.007447
95.075014,-546.267200,-349.659600,-1.525000,-0.975000,0.007447
95.175068,-546.419800,-349.757200,-1.525000,-0.975000,0.007447
95.275010,-546.572300,-349.854700,-1.525000,-0.975000,0.007447
95.375030,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
95.475245,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
95.574967,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
95.674971,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
95.774992,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
95.875018,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
95.975226,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
96.075052,-546.724900,-349.952200,-1.525000,-0.975000,0.007447
